136.2214,990.8618,0
178.6479,978.3518,114
403.9505,436.7903,139
632.1125,90.9457,49
230.8414,277.2665,115
477.8224,126.3706,95
974.6741,377.9608,21
254.2389,46.9196,121
804.9573,111.9164,9
330.9435,964.5636,6
688.4729,262.3803,106
479.7721,633.6762,141
906.2972,78.1381,126
450.9396,587.7956,99
925.6873,7.1932,4
543.7541,427.9496,26
171.3598,413.8856,87
987.643,553.1729,62
949.6351,352.5893,6
148.4318,768.9198,29
991.0039,256.0941,81
732.0416,62.1246,42
288.7855,716.2799,69
429.19,62.7175,115
297.9342,333.9506,80
990.3338,145.1533,76
244.9201,638.0038,65
102.2548,382.2889,4
112.8215,109.7068,135
411.7032,878.4881,137
183.1378,480.3881,15
266.7419,19.9278,33
363.0237,558.3852,5
987.6446,595.5621,18
602.8122,514.6313,2
971.5757,343.8544,44
854.7746,35.39,137
800.1782,852.8176,125
389.4494,386.8842,97
487.2372,43.8245,49
957.2376,790.5195,65
152.6534,361.2152,71
916.9113,607.0996,120
574.1857,298.2951,55
314.9468,124.0051,128
815.4958,719.5974,2
555.4774,603.5644,126
594.4226,610.9517,134
88.2179,401.7002,113
17.1538,471.1357,43
639.0093,434.6756,75
834.4393,989.0064,113
551.289,336.3868,2
638.1661,376.7766,92
300.4742,991.318,125
829.2533,174.086,29
698.8821,165.6162,120
9.9498,791.1297,54
827.2009,333.9063,103
778.8547,554.3432,72
569.5641,257.8882,12
595.742,153.9204,30
240.0844,42.9087,80
840.3758,934.8959,138
225.3321,814.9847,60
957.6389,270.9185,141
261.8444,72.5707,27
829.6276,188.5665,77
441.9807,185.9302,121
338.6748,726.2562,107
384.4159,179.5705,71
773.5047,55.676,52
1.8322,74.5359,124
550.3084,26.6479,48
149.7338,42.6658,66
355.3511,829.5146,87
722.0622,308.5738,65
193.9443,255.4779,3
709.7883,522.3684,124
608.0224,937.6803,83
352.7416,172.7433,4
529.2833,35.2419,3
883.5898,782.109,81
727.9274,103.6871,105
510.1998,813.773,40
573.6065,446.6723,51
695.8055,192.1063,80
770.3135,540.9019,19
452.4395,194.6017,32
969.6808,566.9274,120
801.8086,41.0915,57
458.3728,572.885,61
110.0662,295.5498,115
882.781,788.1279,131
203.9321,523.6561,42
81.7287,731.9956,122
128.9183,199.6304,36
11.4547,908.0733,37
186.2324,820.197,117
474.1888,394.997,45
319.5029,258.1848,11
136.4305,379.0338,52
429.0963,584.3608,132
226.9977,146.9973,35
879.8352,4.93,41
42.8981,972.1831,55
351.1623,51.4622,52
323.0369,907.0321,54
539.7048,299.9254,40
205.0123,776.4055,47
58.2261,560.5324,96
928.6211,340.4172,47
254.1343,36.8938,121
533.981,852.8374,39
122.9428,749.513,5
133.5562,755.9005,47
82.1196,80.5638,117
361.3436,806.4495,133
387.1077,291.2693,121
596.9807,217.973,61
943.7233,589.4701,125
103.3574,633.9299,30
587.1383,792.4874,63
343.1566,190.6753,91
441.2519,801.7781,98
449.0279,783.6116,2
404.9326,749.2979,16
292.006,452.0815,136
775.193,35.7925,124
105.7336,709.9535,117
825.2114,930.0906,29
21.3921,723.9471,59
121.8461,971.4253,5
760.6435,225.4712,137
